A,А сайт 
amended,внесены изменения 
amending,О внесении изменений 
amendment,поправка 
amendments,поправки 
amends,причиненный ущерб 
amenities,услуги 
amenity,удобства 
amethyst,аметист 
amethysts,аметисты 
amiability,любезностью 
amiable,любезный 
amiably,дружелюбно 
amicability,доброжелательность 
amicable,дружная 
amicably,дружно 
amid,на фоне 
amidships,миделе 
amidst,среди 
amigo,амиго 
amigos,Amigos 
amir,амир 
amirs,Амиры 
amiss,сгодится 
amity,дружба 
ammeter,амперметр 
ammeters,амперметры 
ammo,боеприпасы 
ammonia,аммиак 
ammunition,боеприпасы 
amnesia,амнезия 
amnesiac,амнезией 
amnesiacs,амнезией 
amnestied,амнистирован 
amnesties,амнистии 
amnesty,амнистия 
amnestying,амнистирования 
amniocenteses,amniocenteses 
amniocentesis,амниоцентез 
amoeba,амеба 
amoebae,амебы 
amoebas,амебы 
amoebic,амебная 
amok,амок 
among,среди 
amongst,среди 
amoral,аморальным 
amorality,аморальность 
amorally,аморально 
amorous,влюбчивый 
amorously,любовно 
amorousness,влюбленность 
amorphous,аморфный 
amorphously,аморфно 
amorphousness,аморфность 
amortization,амортизация 
amortizations,амортизационные отчисления 
amortize,амортизировать 
amortized,амортизируются 
amortizes,амортизирует 
amortizing,амортизировать 
amount,количество 
amounted,составил 
amounting,На сумму 
amounts,суммы 
amour,амур 
amours,амуры 
amp,усилитель 
amperage,сила тока 
ampere,ампер 
amperes,ампер 
ampersand,амперсанд 
ampersands,амперсанды 
amphetamine,амфетамина 
amphetamines,амфетамины 
amphibian,амфибия 
amphibians,амфибии 
amphibious,амфибия 
amphitheater,амфитеатр 
amphitheaters,амфитеатры 
amphitheatre,амфитеатр 
amphitheatres,амфитеатры 
ample,достаточно 
ampler,более вполне достаточных 
amplest,amplest 
amplification,усиление 
amplifications,амплификации 
amplified,усиливается 
amplifier,усилитель 
amplifiers,усилители 
amplifies,усиливается 
amplify,усиливать 
amplifying,усиления 
amplitude,амплитуда 
amplitudes,амплитуды 
amply,наглядно 
ampoule,ампула 
ampoules,ампулы 
amps,усилители 
ampul,ампула 
ampule,ампула 
ampules,ампулы 
ampuls,ампул 
amputate,ампутировать 
amputated,ампутировали 
amputates,ампутирует 
amputating,ампутации 
amputation,ампутация 
amputations,ампутации 
amputee,ампутантов 
amputees,инвалиды 
amuck,безумна 
amulet,амулет 
amulets,амулеты 
amuse,забавлять 
amused,смешно 
amusement,аттракционов 
amusements,развлечения 
amuses,забавляет 
amusing,забавно 
amusingly,забавно 
an,
anachronism,анахронизмом 
anachronisms,анахронизмы 
anachronistic,анахронизмом 
anaconda,анаконда 
anacondas,анаконды 
anaemia,анемия 
anaemic,анемией 
anaerobic,анаэробная 
anaesthesia,анестезия 
anaesthetic,анестетик 
anaesthetics,анестетики 
anaesthetist,анестезиолог 
anaesthetists,анестезиологи 
anaesthetize,анестезировать 
anaesthetized,анестезии 
anaesthetizes,анестезирует 
anaesthetizing,обезболивание 
anagram,анаграмма 
anagrams,анаграммы 
anal,анал 
analgesia,обезболивание 
analgesic,анальгетик 
analgesics,анальгетики 
analog,аналоговый 
analogies,аналогии 
analogous,аналогичный 
analogously,аналогично 
analogs,аналоги 
analogue,аналог 
analogues,аналоги 
analogy,аналогия 
analyses,анализирует 
analysis,анализ 
analyst,аналитик 
analysts,аналитики 
analytic,аналитическая 
analytical,аналитическая 
analyticalally,analyticalally 
analytically,аналитически 
analyze,проанализировать 
analyzed,проанализированы 
analyzer,анализатор 
analyzers,анализаторы 
analyzes,анализирует 
analyzing,анализ 
anapest,анапест 
anapests,анапестов 
anarchic,анархический 
anarchically,анархически 
anarchism,анархизм 
anarchist,анархист 
anarchistic,анархическая 
anarchists,анархисты 
anarchy,анархия 
anathema,анафемой 
anathemas,анафемы 
anatomic,анатомическая 
anatomical,анатомические 
anatomically,анатомически 
anatomies,анатомия 
anatomist,анатом 
anatomists,анатомы 
anatomy,анатомия 
ancestor,предок 
ancestors,предки 
ancestral,Наследственный 
ancestress,прародительницей 
ancestresses,ancestresses 
ancestries,родословных 
ancestry,родословная 
anchor,якорь 
anchorage,Место стоянки 
anchorages,крепления 
anchored,якорь 
anchoring,якорь 
anchorite,отшельник 
anchorites,отшельники 
anchorman,ведущий 
anchormen,Мэтры 
anchorpeople,anchorpeople 
anchorperson,anchorperson 
anchorpersons,anchorpersons 
anchors,якоря 
anchorwoman,ведущая 
anchorwomen,позиции ведущих 
anchovies,анчоусы 
anchovy,анчоус 
ancient,древняя 
ancienter,ancienter 
ancientest,ancientest 
ancients,древние 
ancillaries,Вспомогательная 
ancillary,вспомогательное 
and,и 
andante,Andante 
andantes,andantes 
andiron,Andiron 
andirons,Andirons 
androgen,андрогенов 
androgynous,андрогинный 
android,андроид 
androids,андроиды 
anecdota,anecdota 
anecdotal,анекдотический 
anecdote,анекдот 
anecdotes,анекдоты 
anemia,анемия 
anemic,анемией 
anemometer,анемометр 
anemometers,анемометры 
anemone,анемон 
anemones,анемоны 
anesthesia,анестезия 
anesthesiologist,анестезиолог 
anesthesiologists,анестезиологи 
anesthesiology,анестезиология 
anesthetic,анестетик 
anesthetics,анестетики 
anesthetist,анестезиолог 
anesthetists,анестезиологи 
anesthetize,обезболить 
anesthetized,наркозом 
anesthetizes,обезболивает 
anesthetizing,обезболивающее 
aneurism,аневризма 
aneurisms,аневризмы 
aneurysm,аневризма 
aneurysms,аневризмы 
anew,заново 
angel,ангел 
angelic,ангельский 
angelically,ангельски 
angels,ангелы 
anger,гнев 
angered,возмущены 
angering,разозлить 
angers,Анже 
angina,стенокардия 
angioplasties,ангиопластики 
angioplasty,ангиопластика 
angiosperm,покрытосеменных 
angiosperms,покрытосеменных 
angle,угол 
angled,угловая 
angler,рыболов 
anglers,рыболовов 
angles,углы 
angleworm,angleworm 
angleworms,angleworms 
angling,рыбалка 
angora,ангора 
angoras,ангоры 
angrier,злее 
angriest,angriest 
angrily,сердито 
angry,сердиться 
angst,тоска 
angstrom,ангстрем 
angstroms,ангстрем 
anguish,тоска 
anguished,мучительные 
anguishes,надрывов 
anguishing,мучительно 
angular,угловая 
angularities,angularities 
angularity,угловатость 
ani,Ани 
animal,животных 
animals,животные 
animate,анимировать 
animated,анимированные 
animatedly,оживленно 
animates,оживляет 
animating,анимации 
animation,анимация 
animations,анимации 
animator,аниматор 
animators,аниматоры 
animism,анимизм 
animist,анимист 
animistic,анимистическая 
animists,анимистами 
animosities,вражда 
animosity,враждебность 
animus,враждебность 
anion,анион 
anions,анионы 
anise,анис 
aniseed,анис 
ankh,анк 
ankhs,крестов 
ankle,лодыжки 
ankles,лодыжки 
anklet,ножной браслет 
anklets,браслеты 
annals,летопись 
anneal,отжиг 
annealed,отжигают 
annealing,отжига 
anneals,отжиги 
annex,приложение 
annexation,аннексия 
annexations,аннексий 
annexed,прилагается 
annexes,приложения 
annexing,аннексия 
annihilate,уничтожить 
annihilated,уничтожены 
annihilates,аннулирует 
annihilating,уничтожающий 
annihilation,аннигиляции 
annihilator,аннуляторный 
annihilators,уничтожители 
anniversaries,юбилеи 
anniversary,годовщина 
annotate,комментировать 
annotated,аннотированный 
annotates,комментирует 
annotating,аннотирования 
annotation,аннотации 
annotations,аннотации 
announce,объявить 
announced,объявил 
announcement,объявление 
announcements,объявления 
announcer,диктор 
announcers,дикторы 
announces,объявляет 
announcing,объявив 
annoy,раздражать 
annoyance,раздражение 
annoyances,раздражениями 
annoyed,раздражен 
annoying,раздражает 
annoyingly,раздражающе 
annoys,раздражает 
annual,годовая 
annually,ежегодно 
annuals,однолетние 
annuities,аннуитеты 
annuity,аннуитет 
annul,аннулировать 
annular,кольцевой 
annulled,аннулированы 
annulling,аннулирование 
annulment,аннулирование 
annulments,отменения 
annuls,аннулирует 
anode,анод 
anodes,аноды 
anodyne,болеутоляющее 
anodynes,anodynes 
anoint,помазать 
anointed,помазал 
anointing,помазание 
anointment,помазание 
anoints,помазывает 
anomalies,аномалии 
anomalous,аномальное 
anomaly,аномалия 
anon,Anon 
anons,Анонс 
anonymity,анонимность 
anonymous,анонимно 
anonymously,анонимно 
anopheles,малярийный 
anorak,куртка с капюшоном 
anoraks,куртки 
anorexia,анорексия 
anorexic,анорексией 
anorexics,анорексией 
another,другой 
answer,ответ 
answerable,ответственности 
answered,ответил 
answering,ответ 
answers,ответы 
ant,муравей 
antacid,антацидный 
antacids,антациды 
antagonism,антагонизм 
antagonisms,антагонизмы 
antagonist,антагонист 
antagonistic,антагонистические 
antagonistically,антагонистически 
antagonists,антагонисты 
antagonize,антагонизм 
antagonized,против себя 
antagonizes,смущает 
antagonizing,как антагонистов 
antarctic,антарктический 
ante,анте 
anteater,муравьед 
anteaters,муравьеды 
antebellum,довоенный 
antecedent,предшественник 
antecedents,прошлое 
antechamber,прихожая 
antechambers,прихожих 
anted,anted 
antedate,задним числом 
antedated,предшествовало 
antedates,предшествует 
antedating,задним числом 
antediluvian,допотопный 
anteed,anteed 
anteing,anteing 
antelope,антилопа 
antelopes,антилопы 
antenna,антенна 
antennae,антенны 
antennas,антенны 
anterior,передняя 
anteroom,прихожей 
anterooms,прихожие 
antes,анте 
anthem,гимн 
anthems,гимны 
anther,пыльников 
anthers,пыльники 
anthill,муравейник 
anthills,муравейники 
anthologies,антологии 
anthologist,антологии 
anthologists,anthologists 
anthologize,anthologize 
anthologized,антологии 
anthologizes,anthologizes 
anthologizing,anthologizing 
anthology,антология 
anthracite,антрацит 
anthrax,сибирской язвы 
anthropocentric,антропоцентрична 
anthropoid,человекообразных 
anthropoids,антропоидов 
anthropological,антропологический 
anthropologist,антрополог 
anthropologists,антропологи 
anthropology,антропология 
anthropomorphic,антропоморфные 
anthropomorphism,антропоморфизм 
anti,анти 
antiabortion,против абортов 
antiaircraft,зенитная 
antibiotic,антибиотик 
antibiotics,антибиотики 
antibodies,антитела 
antibody,антитела 
antic,антик 
anticipate,предвидеть 
anticipated,"ожидается, "
anticipates,ожидает 
anticipating,предвосхищая 
anticipation,ожидание 
anticipations,предвосхищения 
anticipatory,упреждающий 
anticked,anticked 
anticking,anticking 
anticlimactic,разочаровывающим 
anticlimax,антикульминация 
anticlimaxes,anticlimaxes 
anticlockwise,против часовой стрелки 
antics,выходки 
anticyclone,антициклон 
anticyclones,антициклоны 
antidepressant,антидепрессант 
antidepressants,антидепрессанты 
antidote,противоядие 
antidotes,антидоты 
antifreeze,антифриз 
antigen,антиген 
antigens,антигены 
antihero,антигерой 
antiheroes,антигерои 
antihistamine,антигистаминные 
antihistamines,антигистаминные препараты 
antiknock,антидетонационная 
antimatter,антивещество 
antimony,сурьмы 
antiparticle,античастица 
antiparticles,античастицы 
antipasti,антипасти 
antipasto,антипасто 
antipastos,antipastos 
antipathetic,антипатичны 
antipathies,антипатии 
antipathy,антипатия 
antipersonnel,противопехотная 
antiperspirant,антиперспирант 
antiperspirants,антиперспиранты 
antiphonal,антифонное 
antiphonals,antiphonals 
antipodes,антиподы 
antiquarian,Антикварные 
antiquarians,антиквары 
antiquaries,антиквары 
antiquary,антиквар 
antiquate,старину 
antiquated,устаревшие 
antiquates,antiquates 
antiquating,удревнения 
antique,античный 
antiqued,старину 
antiques,антиквариат 
antiquing,старину 
antiquities,древностей 
antiquity,древность 
antis,антис 
antiseptic,антисептик 
antiseptically,антисептически 
antiseptics,антисептики 
antislavery,против рабства 
antisocial,антисоциальное 
antitheses,антитезы 
antithesis,антитеза 
antithetical,противоречит 
antithetically,противоположно 
antitoxin,антитоксин 
antitoxins,антитоксины 
antitrust,антимонопольное 
antiviral,противовирусный 
antivirals,противовирусные 
antiwar,антивоенная 
antler,рога 
antlered,рогатый 
antlers,рога 
antonym,антоним 
antonyms,антонимы 
ants,муравьи 
anus,анус 
anuses,анусы 
anvil,наковальня 
anvils,наковальни 
anxieties,тревоги 
anxiety,тревога 
anxious,хотелось 
anxiously,тревогой 
any,любой 
anybodies,anybodies 
anybody,кто 
anyhow,во всяком случае 
anymore,больше 
anyone,кто 
anyplace,везде 
anything,ничего 
anythings,Anythings 
anytime,в любое время 
anyway,в любом случае 
anywhere,в любом месте 
aorta,аорты 
aortae,аорты 
aortas,аорты 
apace,быстрыми темпами 
apart,кроме 
apartheid,апартеида 
apartment,квартира 
apartments,квартиры 
apathetic,апатичными 
apathetically,апатично 
apathy,апатия 
ape,обезьяна 
aped,APED 
aperitif,аперитив 
aperitifs,аперитивы 
aperture,диафрагмы 
apertures,отверстия 
apes,обезьяны 
apex,вершина 
apexes,вершины 
aphasia,афазия 
aphasic,афатик 
aphasics,афазиков 
aphelia,Aphelia 
aphelion,афелий 
aphelions,aphelions 
aphid,тля 
aphids,тли 
aphorism,афоризм 
aphorisms,афоризмы 
aphoristic,афористичность 
aphrodisiac,афродизиак 
aphrodisiacs,афродизиаки 
apiaries,пасеки 
apiary,пасека 
apices,вершины 
apiece,за штуку 
aping,подражание 
aplenty,изобилии 
aplomb,апломб 
apocalypse,апокалипсис 
apocalypses,апокалипсисы 
apocalyptic,апокалиптическая 
apocryphal,апокриф 
apogee,апогеем 
apogees,апогеи 
apolitical,аполитичным 
apologetic,примирительным 
apologetically,извиняющимся 
apologia,апология 
apologias,апологиях 
apologies,извинения 
apologist,апологет 
apologists,апологеты 
apologize,извиниться 
apologized,извинился 
apologizes,извиняется 
apologizing,извиняться 
apology,извинение 
apoplectic,апоплексический 
apoplexies,apoplexies 
apoplexy,апоплексии 
apostasies,отступничество 
apostasy,отступничество 
apostate,отступник 
apostates,отступники 
apostle,апостол 
apostles,апостолы 
apostolic,апостольская 
apostrophe,апостроф 
apostrophes,апострофа 
apothecaries,аптекари 
apothecary,аптекарь 
apotheoses,apotheoses 
apotheosis,апофеозом 
appal,appal 
appall,потрясать 
appalled,потрясен 
appalling,ужасно 
appallingly,ужасающе 
appalls,ужасает 
appals,appals 
apparatus,аппарат 
apparatuses,аппараты 
apparel,одежда 
appareled,appareled 
appareling,appareling 
apparelled,apparelled 
apparelling,apparelling 
apparels,Одежды 
apparent,очевидно 
apparently,"по-видимому, "
apparition,явление 
apparitions,явления 
appeal,обращение 
appealed,обратился 
appealing,апеллируя 
appeals,призывы 
appear,появляются 
appearance,появление 
appearances,Выступления 
appeared,появились 
appearing,появляясь 
appears,появляется 
appease,успокоить 
appeased,унималась 
appeasement,умиротворения 
appeasements,appeasements 
appeaser,миротворцем 
appeasers,умиротворители 
appeases,утоляет 
appeasing,умиротворения 
appellant,заявитель 
appellants,истцы 
appellate,апелляционный 
appellation,наименование 
appellations,наименования 
append,добавить 
appendage,придаток 
appendages,придатки 
appendectomies,аппендэктомии 
appendectomy,аппендицита 
appended,добавляется 
appendices,приложения 
appendicitis,аппендицит 
appending,добавляя 
appendix,приложение 
appendixes,Приложения 
appends,добавляет 
appertain,единому принадлежит 
appertained,принадлежало 
appertaining,Применяемая 
appertains,appertains 
appetite,аппетит 
appetites,аппетиты 
appetizer,закуска 
appetizers,закуски 
appetizing,аппетитно 
appetizingly,аппетитно 
applaud,аплодирую 
applauded,аплодировали 
applauding,аплодируя 
applauds,аплодирует 
applause,аплодисменты 
apple,яблоко 
applejack,яблочная водка 
apples,яблоки 
applesauce,яблочное пюре 
appliance,прибор 
appliances,техника 
applicability,применимость 
applicable,применимо 
applicant,заявитель 
applicants,заявители 
application,применение 
applications,приложения 
applicator,аппликатор 
applicators,аппликаторы 
applied,прикладное 
applies,применяется 
appliqué,аппликация 
appliquéd,appliquéd 
appliquéing,appliquéing 
appliqués,аппликации 
apply,применить 
applying,применения 
appoint,назначить 
appointed,назначен 
appointee,назначенец 
appointees,назначенцы 
appointing,назначающий 
appointment,назначение 
appointments,назначения 
appoints,назначает 
apportion,распределить 
apportioned,распределяются 
apportioning,распределяя 
apportionment,распределение 
apportions,распределяет 
apposite,уместно 
appositely,appositely 
appositeness,appositeness 
apposition,аппозиция 
appositive,appositive 
appositives,appositives 
appraisal,оценка 
appraisals,экспертиза 
appraise,оценить 
appraised,оценку 
appraiser,оценщик 
appraisers,оценщики 
appraises,оценивает 
appraising,оценке 
appreciable,заметно 
appreciably,заметно 
appreciate,оценить 
appreciated,оценили 
appreciates,ценит 
appreciating,оценивая 
appreciation,оценка 
appreciations,заслуги 
appreciative,благодарный 
appreciatively,оценивающе 
apprehend,задержать 
apprehended,задержаны 
apprehending,задержания 
apprehends,постигает 
apprehension,опасения 
apprehensions,опасения 
apprehensive,опасающийся 
apprehensively,с опаской 
apprehensiveness,предчувствия 
apprentice,ученик 
apprenticed,учеником 
apprentices,ученики 
apprenticeship,ученичество 
apprenticeships,ученичество 
apprenticing,учась 
apprise,информировать 
apprised,в курсе 
apprises,apprises 
apprising,apprising 
approach,подход 
approachable,доступным 
approached,подошел 
approaches,подходы 
approaching,приближается 
approbation,апробация 
approbations,апробации 
appropriate,необходимости 
appropriated,присвоил 
appropriately,соответственно 
appropriateness,целесообразность 
appropriates,присваивает 
appropriating,присваивая 
appropriation,присвоение 
appropriations,ассигнования 
approval,утверждение 
approvals,допуски 
approve,утвердить 
approved,утвержден 
approves,утверждает 
approving,утверждении 
approvingly,одобрительно 
approximate,Примерный 
approximated,приближенно 
approximately,примерно 
approximates,приблизительно 
approximating,аппроксимирующая 
approximation,приближение 
approximations,приближения 
appurtenance,принадлежность 
appurtenances,принадлежностями 
apricot,абрикос 
apricots,абрикосы 
apron,фартук 
aprons,фартуки 
apropos,кстати 
apse,апсида 
apses,апсиды 
apt,кв 
apter,а в а 
aptest,aptest 
aptitude,способность 
aptitudes,склонностей 
aptly,метко 
aptness,меткость 
aqua,аква 
aquaculture,аквакультура 
aquae,Aquae 
aquamarine,аквамарин 
aquamarines,аквамарины 
aquanaut,акванавт 
aquanauts,акванавты 
aquaplane,акваплан 
aquaplaned,aquaplaned 
aquaplanes,aquaplanes 
aquaplaning,аквапланирование 
aquaria,аквариумы 
aquarium,аквариум 
aquariums,аквариумы 
aquas,Aquas 
aquatic,водная 
aquatics,водные виды спорта 
aquavit,аквавит 
aqueduct,акведук 
aqueducts,акведуки 
aqueous,водный 
aquiculture,аквакультура 
aquifer,водоносный горизонт 
aquifers,водоносные горизонты 
aquiline,орлиный 
arabesque,арабески 
arabesques,арабески 
arable,пахотная 
arachnid,паукообразных 
arachnids,паукообразные 
arbiter,арбитр 
arbiters,арбитрами 
arbitrarily,произвольно 
arbitrariness,произвол 
arbitrary,произвольное 
arbitrate,арбитраж 
arbitrated,арбитражном 
arbitrates,арбитра 
arbitrating,арбитража 
arbitration,арбитраж 
arbitrator,арбитр 
arbitrators,арбитры 
arbor,беседка 
arboreal,древесный 
arboreta,дендрарии 
arboretum,дендропарк 
arboretums,лесопитомники 
arbors,беседки 
arborvitae,туи 
arborvitaes,arborvitaes 
arbutus,земляничное 
arbutuses,arbutuses 
arc,дуга 
arcade,аркада 
arcades,аркады 
arcane,тайной 
arced,дугу 
arch,арка 
archaeological,археологические 
archaeologist,археолог 
archaeologists,археологи 
archaeology,археология 
archaic,архаичная 
archaically,архаично 
archaism,архаизм 
archaisms,архаизмы 
archangel,архангел 
archangels,архангелы 
archbishop,архиепископ 
archbishopric,архиепископство 
archbishoprics,archbishoprics 
archbishops,архиепископы 
archdeacon,архидиакон 
archdeacons,архидиаконов 
archdiocese,митрополия 
archdioceses,архиепископий 
archduke,эрцгерцог 
archdukes,эрцгерцоги 
arched,арочные 
archenemies,злейшими врагами 
archenemy,заклятый враг 
archeological,археологическая 
archeologist,археолог 
archeologists,археологи 
archeology,археология 
archer,лучник 
archers,лучники 
archery,стрельба из лука 
arches,арки 
archest,archest 
archetypal,архетипический 
archetype,архетип 
archetypes,архетипы 
arching,всеобъемлющей 
archipelago,архипелаг 
archipelagoes,архипелаги 
archipelagos,архипелаги 
architect,архитектор 
architects,архитекторы 
architectural,архитектурный 
architecturally,архитектурно 
architecture,архитектура 
architectures,архитектуры 
archive,Архив 
archived,архив 
archives,архивы 
archiving,архивирование 
archivist,архивист 
archivists,архивисты 
archly,лукаво 
archness,лукавство 
archway,арка 
archways,арки 
arcing,дуги 
arcked,arcked 
arcking,arcking 
arcs,дуги 
arctic,арктический 
arctics,Арктика 
ardent,ярый 
ardently,горячо 
ardor,задор 
ardors,ardors 
arduous,трудный 
arduously,с трудом 
arduousness,arduousness 
are,являются 
area,площадь 
areas,области 
aren't,не 
arena,арена 
arenas,арен 
ares,соток 
argon,аргон 
argosies,argosies 
argosy,торговое судно 
argot,арго 
argots,арго 
arguable,"утверждать, "
arguably,возможно 
argue,"утверждают, "
argued,"утверждал, "
argues,утверждает 
arguing,спорить 
argument,аргумент 
argumentation,аргументация 
argumentative,спорить 
arguments,аргументы 
argyle,Аргайл 
argyles,Argyles 
aria,ария 
arias,арии 
arid,засушливый 
aridity,засушливость 
aright,правильно 
arise,возникают 
arisen,возникшая 
arises,возникает 
arising,возникающие 
aristocracies,аристократии 
aristocracy,аристократия 
aristocrat,аристократ 
aristocratic,аристократическая 
aristocratically,аристократически 
aristocrats,аристократы 
arithmetic,арифметика 
arithmetical,арифметическая 
arithmetically,арифметически 
ark,ковчег 
arks,ковчеги 
arm,рука 
armada,армада 
armadas,армады 
armadillo,броненосец 
armadillos,броненосцы 
armament,вооружение 
armaments,вооружения 
armature,арматура 
armatures,арматуры 
armband,повязка 
armbands,повязки 
armchair,кресло 
armchairs,кресла 
armed,вооруженный 
armful,охапку 
armfuls,охапки 
armhole,пройма 
armholes,проймы 
armies,армии 
arming,постановка на охрану 
armistice,перемирие 
armistices,перемирия 
armlet,браслет 
armlets,нарукавники 
armor,броня 
armored,бронированная 
armorer,оружейник 
armorers,оружейники 
armories,оружейные 
armoring,бронирование 
armors,доспехи 
armory,Оружейная 
armpit,подмышки 
armpits,подмышки 
armrest,подлокотник 
armrests,подлокотники 
arms,руки 
armsful,armsful 
army,армия 
aroma,аромат 
aromas,ароматы 
aromatherapy,ароматерапия 
aromatic,ароматические 
aromatics,ароматические 
arose,возник 
around,вокруг 
arousal,возбуждение 
arouse,пробудить 
aroused,вызвала 
arouses,пробуждает 
arousing,пробуждая 
arpeggio,арпеджио 
arpeggios,арпеджио 
arraign,обвинять 
arraigned,привлечен к суду 
arraigning,arraigning 
arraignment,предъявление обвинения 
arraignments,arraignments 
arraigns,arraigns 
arrange,организовать 
arranged,расположены 
arrangement,расположение 
arrangements,механизмы 
arranger,аранжировщик 
arrangers,аранжировщики 
arranges,устраивает 
arranging,организации 
arrant,отъявленный 
array,массив 
arrayed,облеченные 
arraying,выстроив 
arrays,массивы 
arrears,задолженность 
arrest,арестовать 
arrested,арестован 
arresting,арестовывать 
arrests,аресты 
arrival,прибытие 
arrivals,заезды 
arrive,приходим 
arrived,прибыли 
arrives,прибывает 
arriving,прибытия 
arrogance,высокомерие 
arrogant,высокомерный 
arrogantly,высокомерно 
arrogate,присвоить 
arrogated,присвоили 
arrogates,присваивает 
arrogating,присваивая 
arrow,стрелка 
arrowhead,стрелка 
arrowheads,наконечники стрел 
arrowroot,маранта 
arrows,стрелки 
arroyo,Арройо 
arroyos,Arroyos 
arsenal,арсенал 
arsenals,арсеналы 
arsenic,мышьяк 
arson,поджог 
arsonist,поджигатель 
arsonists,поджигатели 
art,искусство 
artefact,артефакт 
artefacts,артефакты 
arterial,артериальная 
arteries,артерии 
arteriosclerosis,атеросклероз 
artery,артерии 
artful,хитрый 
artfully,искусно 
artfulness,хитрость 
arthritic,артритом 
arthritics,arthritics 
arthritis,артрит 
arthropod,членистоногие 
arthropods,членистоногие 
artichoke,артишок 
artichokes,артишоки 
article,статья 
articles,статьи 
articulate,сформулировать 
articulated,шарнирный 
articulately,членораздельно 
articulateness,четкая формулировка 
articulates,артикулирует 
articulating,формулирование 
articulation,артикуляция 
articulations,артикуляции 
artier,artier 
artiest,artiest 
artifact,артефакт 
artifacts,артефакты 
artifice,искусственность 
artificer,ремесленник 
artificers,ремесленники 
artifices,ухищрения 
artificial,искусственный 
artificiality,искусственность 
artificially,искусственно 
artillery,артиллерия 
artisan,ремесленник 
artisans,ремесленники 
artist,художник 
artiste,артистка 
artistes,артисты 
artistic,художественный 
artistically,художественно 
artistry,артистизм 
artists,художники 
artless,бесхитростный 
artlessly,простодушно 
artlessness,безыскусственность 
arts,Живопись 
artsier,artsier 
artsiest,artsiest 
artsy,претенциозный 
artwork,работа 
artworks,работы 
arty,арт 
as,как 
asbestos,асбеста 
ascend,подняться 
ascendancy,господство 
ascendant,восходящей 
ascendants,Предки 
ascended,вознесся 
ascendency,господство 
ascendent,господствующее 
ascendents,ascendents 
ascending,возрастанию 
ascends,поднимается 
ascension,восхождение 
ascensions,восхождения 
ascent,восхождение 
ascents,восхождений 
ascertain,установить 
ascertainable,выиграют все 
ascertained,установлено 
ascertaining,констатация 
ascertains,констатирует 
ascetic,аскет 
asceticism,аскетизм 
ascetics,подвижники 
ascot,Ascot 
ascots,шейные платки 
ascribable,приписываемый 
ascribe,приписывают 
ascribed,приписывал 
ascribes,приписывает 
ascribing,приписывая 
ascription,приписывание 
aseptic,асептический 
asexual,бесполое 
asexually,бесполым 
ash,золы 
ashamed,стыдно 
ashamedly,стыдливо 
ashcan,глубинная бомба 
ashcans,ashcans 
ashed,Озоленный 
ashen,пепельно 
ashes,пепел 
ashier,ashier 
ashiest,ashiest 
ashing,озоления 
ashore,берег 
ashram,ашрам 
ashrams,ашрамы 
ashtray,пепельница 
ashtrays,пепельницы 
ashy,пепельный 
aside,в сторону 
asides,отступлений 
asinine,ослиный 
ask,спросите 
askance,косо 
asked,спросил 
askew,косо 
asking,спрашивать 
asks,просит 
aslant,наискось 
asleep,спит 
asocial,асоциальное 
asp,жерех 
asparagus,спаржа 
aspartame,аспартам 
aspect,аспект 
aspects,аспекты 
aspen,осина 
aspens,осины 
asperities,неровности 
asperity,неровность 
aspersion,клевета 
aspersions,клеветы 
asphalt,асфальт 
asphalted,Асфальтированная 
asphalting,асфальтирование 
asphalts,битумы 
asphyxia,асфиксия 
asphyxiate,задыхаться 
asphyxiated,асфиксии 
asphyxiates,удушает 
asphyxiating,удушающих 
asphyxiation,удушье 
asphyxiations,asphyxiations 
aspic,холодец 
aspics,aspics 
aspirant,стремящийся 
aspirants,аспирантов 
aspirate,аспирируйте 
aspirated,придыханием 
aspirates,аспираты 
aspirating,аспирационного 
aspiration,стремление 
aspirations,стремления 
aspire,Aspire 
aspired,Желаемые 
aspires,Стремится 
aspirin,аспирин 
aspiring,начинающий 
aspirins,аспирин 
asps,осины 
ass,попка 
assail,нападать 
assailable,уязвимый 
assailant,нападавший 
assailants,нападавшие 
assailed,одолевать 
assailing,атакуя 
assails,нападает 
assassin,убийца 
assassinate,убить 
assassinated,убит 
assassinates,убивает 
assassinating,убийства 
assassination,убийство 
assassinations,убийства 
assassins,убийцы 
assault,нападение 
assaulted,напали 
assaulter,нападавший 
assaulting,нападение 
assaults,нападения 
assay,анализ 
assayed,анализировали 
assaying,опробование 
assays,анализы 
assemblage,сборка 
assemblages,комплексы 
assemble,собрать 
assembled,собраны 
assembler,сборщик 
assemblers,монтажники 
assembles,собирает 
assemblies,сборки 
assembling,сборки 
assembly,сборка 
assemblyman,законодательного органа 
assemblymen,монтажниками 
assemblywoman,Assemblywoman 
assemblywomen,assemblywomen 
assent,согласие 
assented,согласился 
assenting,соглашаясь 
assents,поддакивает 
assert,утверждать 
asserted,утверждал 
asserting,утверждая 
assertion,утверждение 
assertions,утверждения 
assertive,напористой 
assertively,напористо 
assertiveness,напористость 
asserts,утверждает 
asses,ослы 
assess,оценить 
assessed,оценивается 
assesses,оценивает 
assessing,оценки 
assessment,оценка 
assessments,оценки 
assessor,эксперт 
assessors,заседатели 
asset,активов 
assets,активы 
asseverate,торжественно заявлять 
asseverated,asseverated 
asseverates,asseverates 
asseverating,asseverating 
asshole,мудак 
assholes,придурки 
assiduous,усердным 
